web-scraper-order,web-scraper-start-url,link,link-href,dataset_availability,dataset_provider,dataset_provider-href,tags,description
"1573166768-164","https://developers.google.com/earth-engine/datasets/catalog","MOD13A1.005 Vegetation Indices 16-Day L3 Global 500m","https://developers.google.com/earth-engine/datasets/catalog/MODIS_MOD13A1","2000-02-18T00:00:00 - Present","NASA LP DAAC at the USGS EROS Center","https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod13a1","vegetation
    
      ndvi
    
      evi
    
      modis
    
      mod13a1
    
      16-day
    
      global
    
      terra","Global MODIS vegetation indices are designed to
provide consistent spatial and temporal comparisons of vegetation conditions.
Blue, red, and near-infrared reflectances, centered at 469-nanometers,
645-nanometers, and 858-nanometers, respectively, are used to determine the
MODIS daily vegetation indices."
"1573166759-163","https://developers.google.com/earth-engine/datasets/catalog","MOD44W.005 Land Water Mask Derived from MODIS and SRTM","https://developers.google.com/earth-engine/datasets/catalog/MODIS_MOD44W_MOD44W_005_2000_02_24","2000-02-24T00:00:00 - 2000-02-24T00:00:00","NASA LP DAAC at the USGS EROS Center","https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod44w","water-mask
    
      srtm
    
      geophysical
    
      modis
    
      mod44w","The Global Water Mask uses the SWBD (SRTM Water Body Data) in combination with MODIS 250m data to create a complete global map of surface water at 250m spatial resolution, circa 2000-2002.  This dataset is intended for use in processing of raster data and for masking out water in final raster data products."
"1573167036-278","https://developers.google.com/earth-engine/datasets/catalog","GLIMS: Global Land Ice Measurements from Space - current","https://developers.google.com/earth-engine/datasets/catalog/GLIMS_current","1992-06-01T00:00:00 - 2017-08-01T00:00:00","National Snow and Ice Data Center (NSDIC)","https://www.glims.org/","glacier
    
      landcover
    
      nsidc
    
      glims
    
      snow
    
      ice","Global Land Ice Measurements from Space (GLIMS) is
an international initiative with the goal of repeatedly surveying
the world's estimated 200,000 glaciers."
"1573166238-96","https://developers.google.com/earth-engine/datasets/catalog","OpenLandMap Potential distribution of biomes","https://developers.google.com/earth-engine/datasets/catalog/OpenLandMap_PNV_PNV_BIOME-TYPE_BIOME00K_C_v01","2001-01-01T00:00:00 - 2002-01-01T00:00:00","EnvirometriX Ltd","http://dx.doi.org/10.7910/DVN/QQHCIK","biome
    
      potential
    
      envirometrix
    
      openlandmap
    
      opengeohub","Potential Natural Vegetation biomes global predictions of classes
(based on predictions using the BIOMES 6000 dataset's 'current biomes' category.)"
"1573167139-328","https://developers.google.com/earth-engine/datasets/catalog","Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling","https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S1_GRD","2014-10-03T00:00:00 - Present","European Union/ESA/Copernicus","https://sentinel.esa.int/web/sentinel/user-guides/sentinel-1-sar/","radar
    
      sar
    
      backscattering
    
      polarization
    
      eu
    
      esa
    
      copernicus
    
      sentinel","The Sentinel-1 mission provides data from a dual-polarization
C-band Synthetic Aperture Radar (SAR) instrument.  This collection
includes the S1 Ground Range Detected (GRD) scenes, processed
using the Sentinel-1 Toolbox to generate a calibrated, ortho-corrected
product. The collection is updated weekly."
"1573166822-175","https://developers.google.com/earth-engine/datasets/catalog","MYD13Q1.006 Aqua Vegetation Indices 16-Day Global 250m","https://developers.google.com/earth-engine/datasets/catalog/MODIS_006_MYD13Q1","2000-02-18T00:00:00 - Present","NASA LP DAAC at the USGS EROS Center","https://doi.org/10.5067/MODIS/MYD13Q1.006","vegetation
    
      ndvi
    
      evi
    
      modis
    
      myd13q1
    
      16-day
    
      global
    
      aqua
    
      usgs
    
      nasa","The MYD13Q1 V6 product provides a Vegetation Index (VI) value at a per pixel basis. There are two primary vegetation layers. The first is the Normalized Difference Vegetation Index (NDVI) which is referred to as the continuity index to the existing National Oceanic and Atmospheric Administration-Advanced Very High Resolution Radiometer (NOAA-AVHRR) derived NDVI. The second vegetation layer is the Enhanced Vegetation Index (EVI) that minimizes canopy background variations and maintains sensitivity over dense vegetation conditions. The EVI also uses the blue band to remove residual atmosphere contamination caused by smoke and sub-pixel thin cloud clouds. The MODIS NDVI and EVI products are computed from atmospherically corrected bi-directional surface reflectances that have been masked for water, clouds, heavy aerosols, and cloud shadows."
"1573166297-108","https://developers.google.com/earth-engine/datasets/catalog","Canadian Digital Elevation Model","https://developers.google.com/earth-engine/datasets/catalog/NRCan_CDEM","1945-01-01T00:00:00 - 2011-01-01T00:00:00","NRCan","https://open.canada.ca/data/en/dataset/7f245e4d-76c2-4caa-951a-45d1d2051333","cdem
    
      elevation
    
      topography
    
      dem
    
      geophysical
    
      nrcan
    
      canada","The Canadian Digital Elevation Model (CDEM) is part of Natural Resources
Canada's (NRCan) altimetry system and stems from the existing Canadian
Digital Elevation Data (CDED). In these data, elevations can be either
ground or reflective surface elevations."
"1573166847-187","https://developers.google.com/earth-engine/datasets/catalog","MOD44W.006 Terra Land Water Mask Derived from MODIS and SRTM Yearly Global 250m","https://developers.google.com/earth-engine/datasets/catalog/MODIS_006_MOD44W","2000-01-01T00:00:00 - Present","NASA LP DAAC at the USGS EROS Center","https://doi.org/10.5067/MODIS/MOD44W.006","water-mask
    
      srtm
    
      geophysical
    
      modis
    
      mod44w
    
      usgs
    
      nasa","The MOD44W V6 land/water mask 250m product is derived using a
decision tree classifier trained with MODIS data and validated with the
MOD44W V5 product. A series of masks are applied to address known issues
caused by terrain shadow, burn scars, cloudiness, or ice cover in oceans."
"1573166939-231","https://developers.google.com/earth-engine/datasets/catalog","USGS Landsat 3 MSS Collection 1 Tier 1 Raw Scenes","https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_LM03_C01_T1","null","USGS","http://landsat.usgs.gov/","global
    
      mss
    
      l3
    
      lm3
    
      c1
    
      tier1
    
      t1
    
      radiance
    
      landsat
    
      usgs","Landsat 3 MSS Collection 1 Tier 1 DN values, representing scaled, calibrated at-sensor radiance."
"1573167168-342","https://developers.google.com/earth-engine/datasets/catalog","PML_V2: Coupled Evapotranspiration and Gross Primary Product","https://developers.google.com/earth-engine/datasets/catalog/CAS_IGSNRR_PML_V2","2002-07-04T00:00:00 - Present","PML_V2","http://github.com/kongdd/PML","evapotranspiration
    
      gross-primary-product
    
      gpp
    
      pml
    
      cas
    
      igsnrr","Penman-Monteith-Leuning Evapotranspiration V2 (PML_V2) products include
evapotranspiration (ET), its three components, and
gross primary product (GPP) at 500m and 8-day resolution during 2002-2017
and with spatial range from -60°S to 90°N. The major advantages of the
PML_V2 products are:"
